doc_id,file_path,title,source_url,retrieved_at,document_version,license_or_permission
chinh-sach-ban-hang-seller-pyloherb,data\ecommerce\chinh-sach-ban-hang-seller-pyloherb.md,Chính sách nhà bán hàng,https://pyloherb.com/2021/05/26/chinh-sach-nha-ban-hang/,2026-09-20,not-stated,public-source
chinh-sach-bao-hanh-bieu-phi-phu-kien,data\ecommerce\chinh-sach-bao-hanh-bieu-phi-phu-kien.md,Chính sách bảo hành và biểu phí phụ kiện,https://lug.com.vn/chinh-sach-bao-hanh-bieu-phi-phu-kien,2026-09-20,not-stated,public-source
chinh-sach-bao-hanh-tron-doi,data\ecommerce\chinh-sach-bao-hanh-tron-doi.md,Chính sách bảo hành trọn đời,https://giaybq.com.vn/pages/chinh-sach-bao-hanh-tron-doi,2026-09-20,not-stated,public-source
chinh-sach-bao-hanh-va-hoan-tien,data\ecommerce\chinh-sach-bao-hanh-va-hoan-tien.md,Chính sách bảo hành và hoàn tiền,https://degrey.vn/pages/chinh-sach-bao-hanh-va-hoan-tien,2026-09-20,not-stated,public-source
chinh-sach-doi-tra,data\ecommerce\chinh-sach-doi-tra.md,Chính sách đổi trả,https://giaybq.com.vn/pages/chinh-sach-doi-tra,2026-09-20,not-stated,public-source
chinh-sach-doi-tra-hang,data\ecommerce\chinh-sach-doi-tra-hang.md,Chính sách đổi trả hàng,https://lug.com.vn/chinh-sach-doi-tra-hang,2026-09-20,not-stated,public-source
chinh-sach-doi-tra-va-hoan-tien,data\ecommerce\chinh-sach-doi-tra-va-hoan-tien.md,Chính sách đổi trả và hoàn tiền,https://khanhvyhome.com/pages/chinh-sach-doi-tra-va-hoan-tien,2026-09-20,not-stated,public-source
chinh-sach-tra-hang-va-hoan-tien,data\ecommerce\chinh-sach-tra-hang-va-hoan-tien.md,Chính sách trả hàng và hoàn tiền,https://fujifilm-xspace.vn/pages/chinh-sach-tra-hang-va-hoan-tien,2026-09-20,not-stated,public-source
doi-tra-hang-hiclean,data\ecommerce\doi-tra-hang-hiclean.md,Chính sách đổi trả hàng hóa,https://hiclean.com.vn/ho-tro-khach-hang/chinh-sach-doi-tra-hang-hoa,2026-09-20,not-stated,public-source
doi-tra-hang-smarthomekit,data\ecommerce\doi-tra-hang-smarthomekit.md,Quy định đổi trả hàng và hoàn tiền,https://smarthomekit.vn/quy-dinh-doi-tra-hang-va-hoan-tien/,2026-09-20,not-stated,public-source
doi-tra-hang-thegioinem,data\ecommerce\doi-tra-hang-thegioinem.md,Chính sách đổi trả và hoàn tiền,https://thegioinem.com/chinh-sach-doi-tra-va-hoan-tien,2026-09-20,not-stated,public-source
doi-tra-hang-xtrend,data\ecommerce\doi-tra-hang-xtrend.md,Chính sách kiểm hàng và đổi trả hàng hóa,https://xtrend.vn/chinh-sach-doi-tra-hang/,2026-09-20,not-stated,public-source
shopee-nguoi-ban-tra-hang-hoan-tien,data\ecommerce\shopee-nguoi-ban-tra-hang-hoan-tien.md,Chính sách trả hàng và hoàn tiền dành cho người bán Shopee,https://help.shopee.vn/portal/4/article/77251,2026-09-20,not-stated,public-source
shopee-quy-che-hoat-dong-san,data\ecommerce\shopee-quy-che-hoat-dong-san.md,Quy chế hoạt động sàn thương mại điện tử Shopee,https://help.shopee.vn/portal/4/article/77245,2026-09-20,not-stated,public-source
shopee-quy-dinh-dang-ban-san-pham,data\ecommerce\shopee-quy-dinh-dang-ban-san-pham.md,Quy định về đăng bán sản phẩm trên Shopee,https://help.shopee.vn/portal/4/article/77246,2026-09-20,not-stated,public-source
